colorway_id,shoe_id,colorway
12,27,Bleached Lime Glo / Pixel Green  /Hi-Lite
13,27,NB Navy / Heron Blue / Copper
1,28,Blue / Orange / White
2,28,"""Pass the Torch"""
3,28,Purple / Pink
4,28,Black / Yellow
5,28,Brown / Orange
6,28,Blue / Black
7,28,Red/Grey/White
8,28,Multi / Multi / Multi
9,28,"""Celestial Guardian"""
10,28,Black / Pink / Volt
1,29,White / Volt Glow / Green Glow / Black
2,29,Pink Prime / Black/Hyper Jade / University Gold
3,29,Black / White / Red
4,29,White / Grey Fog / Siren Red / Black
5,29,Metallic / White
6,29,Vapour Green / Cone / Psychic Purple / Hyper Jade
7,29,Black / Hyper Jade / Pink Prime / Hyper Grape
8,29,Purple Comet / Midnight Navy / Hydrogen Blue / Hot Punch
9,29,Red / Black / White
1,30,Gym Red / White
2,30,"""University"""
3,30,White / Black / Dark Powder Blue
4,30,Black / Sail
5,30,Sail / Black / Game Royal
6,30,White / Black / University Red
1,31,Silver Pebble / Core Black / Wonder Beige
2,31,Metal Grey / Dove Grey / Cloud White
3,31,Red / Black / Orange Glow
4,31,Lucid Lime / Aurora Ink / Core Black
5,31,Arctic Fusion / Core Black / Cloud White
1,32,Light Wild Mango / Black/Laser Orange / Action Green
2,32,Bold Berry / Hyper Violet  / Black / Green Strike
3,32,Black / University Red
4,32,Blue / Yellow / Lightning
5,32,Green / Black / Grey / Black
6,32,Coconut Milk / Sail / University Red / Aster Pink
7,32,White / Wolf Grey / Black
8,32,Dusty Cactus / Bright Crimson / Obsidian
9,32,Ashen Slate / Armory Navy / Glacier Blue / Laser Orange
1,33,Black / Hyper Green / Black
2,33,White / Black
3,33,Multi-Color / Multi-Color
4,33,Beige / White
5,33,Stream / Metallic Gold / Metallic Silver
6,33,Halo Gray / Black
7,33,Black / Team Royal / Taxi
8,33,White / Midnight Navy / Red
9,33,Midnight Navy / White / Red
10,33,Purple / Pink
11,33,Red / Ares Red
1,34,"""305"""
2,34,"""Avocado"""
3,34,"""Announcement"""
4,34,"""Cherry Blossom"""
5,34,"""Game Blue"""
6,34,"""Satori"""
1,35,"""Flammable Ice"""
2,35,"""Wade X Adam Lister"""
3,35,"""Announcement"""
4,35,"""Chemistry"""
5,35,"""Satori"""
1,36,White Hot
2,36,"""Overtown"""
3,36,"""Liberty"""
4,36,"""Sunshine State"""
5,36,"""Gold & Purple"""
6,36,"""Announcement"""
7,36,"""Hall of Fame"""
8,36,"""Blossom"""
9,36,"""Team No Sleep"""
1,37,Aurora Black / Solar Red / Lucid Blue
2,37,Cloud White / Silver Metallic / Cloud White
3,37,Acid Orange / Core Black / Orange Tint
4,37,Lucid Lime / Solar Red / Lucid Blue
5,37,Lucid Red / Core Black / Screaming Green
6,37,White / Screaming Green / Lucid Blue
7,37,Cloud White / Solar Red / Team Solar Green
8,37,Purple Burst / Core Black / Lucid Lemon
9,37,Lucid Red / Solar Green / Vivid Green
10,37,Lucid Lemon / Core Black / Silver Metallic
11,37,Cobalt Blue / Core Black / Blue Spark
12,37,Team Colleg Gold 2 / Core Black / Cloud White
13,37,Lucid Blue / Core Black / Cloud White
14,37,Core Black / Cloud White / Matte Silver
15,37,Team Power Red 2 / Core Black / Cloud White
1,38,Apple Green / White / Yellow Strike
2,38,Citron Tint / Alabaster / Laser Fuchsia / Royal Pulse
3,38,Coconut Milk / Baroque Brown / Light Bone / Sail
4,38,"""White Noise"""
5,38,Black / Grey / Black
6,38,Pink Foam / Elemental Pink / Black
7,38,Light Smoke Grey / Fresh Mint / Vapour Green
8,38,Iron Grey / Hot Punch / Sail
9,38,Rattan / Metallic Gold / Khaki / Sail
10,38,White / Black / Photon Dust / Volt
11,38,Wolf Grey / Smoke Grey / Volt / Black
12,38,Apricot Agate / Washed Coral / Washed Teal / Light Bone
13,38,Baltic Blue / Light Crimson / Glacier Blue / White
14,38,Light Bone / Calypso
15,38,White / Pinksicle
16,38,Gorge Green / Volt / White
17,38,Football Grey / Glacier Blue / Astronomy Blue / White
18,38,Game Royal / Deep Royal Blue / Photo Blue / White
19,38,Red / White / Navy
20,38,Cave Purple / White / Black Raspberry
21,38,University Red / Gym Red / Bright Crimson / White
22,38,College Navy / Dark Obsidian / Photo Blue / White
1,39,White / Phantom / Total Orange / Racer Blue
2,39,Laser Orange / Metallic Silver / Vast Grey / Black
3,39,Pure Platinum / White / Light Lemon Twist / Glacier Blue
4,39,Red Stardust / Metallic Silver / Pink Tint / Pale Ivory
5,39,Dusty Cactus / Concord / Green Frost / Sundial / White / Laser Orange
6,39,Ashen Slate / Sail / White / Anthracite
7,39,Black / Coconut Milk  /Black
8,39,Anthracite / Ashen Slate / Metallic Gold / Light Wild Mango
9,39,White / Black / Royal Pulse
1,40,Black / Black
2,40,White / Black / Light Bone
3,40,Pink Tint / White / Platinum Tint / Taupe Grey
1,41,"""305"""
2,41,"""Shining"""
3,41,"""ASG Yellow"""
4,41,"""Announcement"""
5,41,"""Score Champion"""
6,41,"""ASG Green"""
7,41,"""Family Love"""
1,42,White / Purple
2,42,Black / University Gold
3,42,White / White / White
4,42,White / Radiant Emerald / White
5,42,White / Court Purple / White
6,42,University Red / University Red / White
7,42,Wolf Grey / Wolf Grey / White
8,42,College Navy / College Navy / White
9,42,White / Metallic Gold / Black
10,42,Stadium Grey / Metallic Silver / Tour Yellow
1,43,White / Barely Grape / Pink Foam / Light Smoke / Grey
2,43,Hot Punch / Photon Dust / Black / Dark Smoke Grey
3,43,Light Bone / Picante Red / Sail / Iron Grey
1,44,Green Glare / Galactic Gray
2,44,White / Silver
3,44,PUMA Team Royal - Dewdrop
4,44,Yellow Sizzle / Fluro Peach Pes / Cobalt Glaze / Luminous Blue
5,44,Shadow Gray/ Smokey Gray
6,44,Bright Aqua / Fluro Pink Pes / PUMA Black
7,44,Lavender Alert
1,45,Plum Fog / Sail / Black
2,45,"""Light Bone"""
3,45,Black / Sail / Dark Ash
1,46,Neo Flame / Airyteal / Blaze Orange
2,46,Purple Punch / Signal Pink
3,46,Black / Gold
4,46,Slate Grey / Angora
5,46,Team Sky Blue / Sea Salt
6,46,HI-Pink / Black / Neo Flame
7,46,White / Black / Red
1,47,Light Iron Ore / Black / Sail / Metallic Gold
2,47,Royal Blue / Opti Yellow / Black / Fuchsia / Vivid Purple / Guava Ice
3,47,"""USA"""
4,47,Barely Volt / Rosa Hyper / Laranja Total / Azul Baltic
5,47,Safety Orange / Sundial / Total Orange
6,47,Wolf Grey / White / Black
7,47,Black / Vintage Green / Night Forest / Bright Crimson
8,47,Dusty Amethyst / Hydrangeas / Amethyst Tint
9,47,White / Black / Game Royal / White
10,47,University Gold / Safety Orange / University Blue / Black
11,47,Coconut Milk / Viotech / Doll / Light Laser Orange
12,47,Pink Foam / Beyond Pink
13,47,University Red / White / University Red
14,47,Aquarius Blue / Glacier Blue / White / Metallic Silver
15,47,Black / Atomic Violet / Hyper Grape / White
16,47,Sesame / Rough Green / Monarch / University Gold
17,47,Red / Black / Black
18,47,Black / White / Black
19,47,Navy / White / Black
1,48,Feather Grey / Ivory / Core Black
2,48,Red / Core Black / Silver Metallic
3,48,Purple Burst / Core Black / Silver Metallic
4,48,Core Black / Cloud White / Cobalt Blue
5,48,Hazy Copper / Core Black / Lucid Lemon
6,48,Cloud White / Core Black / Better Scarlet
7,48,Green / Core Black / Lucid Pink
8,48,Cloud White / Halo Silver / Core Black
9,48,Lucid Pink / Solar Red / Impact Orange
10,48,Lucid Blue / Easy Yellow / Lucid Blue
11,48,Crew Yellow / Core Black / Silver Metallic
1,49,Light Zitron / Aurora Green / Atomic Pink / Sail
2,49,Mint Foam / Lava Glow/ Black / Hyper Jade / Key Lime
3,49,Red / White / White
4,49,Light Soft Pink / Mint Foam / Smoke / Lilac / Medium Soft Pink / Copa
5,49,White / Electric Green / Black / Wolf Grey
6,49,White / Black / Hyper Pink / Volt
1,50,"""Artist on Court"""
1,51,"""Miami Heat Home"""
2,51,"""Grey Red"""
3,51,"""Jade"""
4,51,"""BigFace Coffee"""
5,51,"""Bred"""
6,51,"""Care"""
7,51,"""Tennis Ball"""
8,51,"""Beige Green"""
9,51,"""AO 2024"""
1,52,"""Rattlesnake"""
2,52,Cargo Khaki / Phantom
3,52,White / Magic Ember
4,52,Sunrise
5,52,Purple / Yellow / Purple
6,52,Orange / Court Purple / Taupe Grey
7,52,Sesame / Black / Orange
8,52,White / Black
9,52,Blue / Multi-Color
10,52,Barely Grey / Metallic Silver / Moon Particle / Pale Ivory
11,52,Sail / Court Purple / Clay Orange
12,52,Grey / Multi
13,52,White / Varsity Red / Varsity Blue
14,52,Beige / Brown / Black
15,52,Black / Black / White / Clay / Orange
16,52,Clay Orange / Light Silver / Dark Stucco
17,52,Black / Hemp / Metallic Red / Bronze
18,52,"""Mirage"""
1,53,Mod Gray / Castlerock / Sonic Yellow
2,53,Capri / Red Solstice / White
3,53,Black / Beta / White
4,53,High Vis Yellow / White
5,53,Circuit Teal / Sky Blue / Metallic Gold
6,53,White / Distant Gray / Metallic Silver
7,53,Celeste / Black / Metallic Rose
1,54,Black/ Ice Wine / Infield Clay
2,54,Moonbeam / Linen / Signal Pink
3,54,Nb Navy / Bleached Lime / Sea Salt
4,54,Cyber Jade / Pixel Green / Black
5,54,Electric Indigo / Castlerock
6,54,Black / True Red
7,54,White / light chrome blue
1,55,Smoke Grey / Hot Fuchsia / Hyper Pink / Black
2,55,Hyper Pink / Metallic Silver / Pink Foam / Black
3,55,Sail / Light Khaki / University Red / Ironstone
4,55,Siren Red / Summit White / Atomic Pink / Black
5,55,Washed Coral / Dusty Cactus / Metallic Silver / Chalk
6,55,Sail / Light Bone / Metallic Silver / Smoke Grey
7,55,Volt / Black
8,55,White / Sport Red / Obsidian
9,55,Ashen Slate / Baltic Blue / Metallic Gold / Football Grey
10,55,Black / Iron Grey / Dark Smoke Grey / White
11,55,Sea Glass / Metallic Gold / University Red / Oil Green
12,55,White / Metallic Silver / Light Lemon Twist / Glacier Blue
13,55,Blue Fury / Metallic Silver / Tangerine Tint / Black
14,55,Black / Vintage Green / Bicoastal/Malachite
15,55,"""Vapor Green"""
16,55,Glacier Blue / Bright Mandarin / Ashen Slate / Light Armory Blue
17,55,Barely Green / Sail / Safety Orange / Jade Ice
18,55,White / Black
19,55,Royal Pulse / Light Wild Mango / Plum Dust / Sail
20,55,Grey / Black/Grey
21,55,"""Picante Red"""
1,56,Orange / Crimson Tint
2,56,Coconut Milk / Atmosphere / Hyper Pink / Black
3,56,"""Siren Red"""
4,56,Black / Anthracite / Gamma Blue / Particle Grey
5,56,White / Metallic Gold
1,57,Core Black / Grey Six / Core Black
2,57,Core Black / Cloud White / Dove Grey
3,57,Cloud White / Blue Burst / Silver Metallic
4,57,Semi Green Spark / Aurora Black / Cloud White
5,57,Metal Grey / Cloud White / Grey Four
6,57,Lucid Lemon / Cloud White / Silver Green
7,57,Core Black / Solar Red / Silver Metallic
1,58,White / Photon Dust
2,58,Black / White
3,58,Black / University Red / Iron Grey / White
4,58,White / Black / Black
5,58,Photon Dust / Light Crimson / White / Black
6,58,Glacier Blue / White / Photon Dust / Metallic Silver
7,58,Barely Green / Washed Coral / Dusty Cactus / Black
8,58,Summit White / Picante Red / Football Grey / Metallic Silver
9,58,Black / Anthracite / Green Strike / Barely Volt
10,58,Light Smoke Grey / Dark Grey / Photon Dust
11,58,Sail / Light Lemon Twist / White / Smoke Grey
12,58,White / Black
13,58,Oil Green / Spring Green / Light Lemon Twist / Sail
14,58,White / Sport Red / Obsidian
15,58,Iron Grey / Baltic Blue / Football Grey
16,58,Light Wild Mango / Hot Fuchsia / Plum Dust / White
17,58,Sea Glass / Olive Aura / Light Wild Mango / Oil Green
18,58,Coconut Milk / Mineral / Light Orewood Brown / Jade Ice
19,58,Volt / Barely Volt / Anthracite
20,58,University Red / Gym Red / White
21,58,Game Royal / Deep Royal Blue / White
22,58,College Navy / Dark Obsidian / Thunder Blue / White
23,58,Court Purple / White
24,58,Black / Alabster
25,58,Photon Dust / Pink Blast / Dynamic Turquoise / White
1,59,Black / White / Anthracite / Habanero Red
2,59,Black / Anthracite / Sail / Taxi
3,59,White / Black / University Red
4,59,White / Pink / White
5,59,Phantom / Sand Drift / Sail / Game Royal
6,59,White / Arctic Punch / Black
7,59,Stone Blue / Mystic Navy / Midnight Navy / Bleached Coral
8,59,White / Sail / Black / Gym Red
9,59,Black / Anthracite / Coconut Milk / Cyber
10,59,White / Black / Legend Blue
1,60,Core Black / Cloud White / Green Spark
2,60,Cloud White / Core Black / Blue Burst
3,60,Semi Spark / Core Black / Cloud White
4,60,Solar Red / Core Black / Lucid Lime
5,60,Putty Grey / Core Black / Lucid Lemon
1,61,Lucid Blue / Green / Lucid Blue
2,61,Cloud White / Core Black / Green Spark
3,61,Acid Orange / Core Black / Acid Red
4,61,Arctic Fusion / Core Black / Cloud White
5,61,Core Black / Carbon / Lucid Lemon
6,61,Wonder Clay / Preloved Scarlet / Core Black
1,62,Puma White / Puma Silver
2,62,Sunset Glow / Electric Peppermint
3,62,Passionfruit / PUMA Green / Peach Fizz
4,62,Bright Aqua / Ravish
5,62,Silver Mist / Gray Fog
6,62,Puma Black / All Time Red
1,63,Hyper Green / Black
2,63,Hyper Green / Rough / Flash Light
3,63,Provence Purple / Black / Nova Orange
4,63,White / Taxi / Versa Blue
1,64,"""Los Angeles"""
2,64,"""Origin"""
3,64,"""Sunshine State"""
4,64,"""Silver"""
5,64,'White Blue'
6,64,"""Announcement"""
1,65,Solar Red / Cloud White / Core Black
2,65,Team Maroon 2 / St Desert Sand / Core Black
3,65,Bright Cyan / Core Black / Blue Rush
4,65,Semi Blue Burst / Semi Flash Aqua / Crystal White
5,65,Lucid Lemon / Core Black
6,65,Core White / Victory Blue / Crystal White
1,66,Bright Sky / Team Sky Blue / White
2,66,Neo flame / cobalt / true yellow
3,66,Sunflower / Poppy / Neo Flame
4,66,White / Black
5,66,Angora / Bone
6,66,Kelly Green / Palm Leaf
7,66,Optic White / Purple Fade / Black
8,66,Quartz grey / bleached lime glo
1,67,"""Nobility"""
2,67,Violet Dust / Melon Tint / Purple Cosmos
3,67,White / Black / Bicoastal / Photon Dust
4,67,Azul Glacier / Verde Stadium / Rosa Beyond / Coconut Milk
5,67,Oil Green / Volt / Volt
6,67,Ember Glow / Elemental Gold / Campfire Orange
7,67,Light Bone / Coconut Milk / Dark Russet / Campfire Orange
8,67,Black / Iron Grey / Oil Green / Metallic Pewter
9,67,Barely Grape / Lilac Bloom / Summit White / Light Armory Blue
10,67,Black/Particle Grey/Wolf Grey/Pink Rise
11,67,Pink / Multi Color
12,67,Teal / Purple / Silver
13,67,Photo Blue / Vapor Green / Laser Orange / Laser Fuchsia
14,67,Cool Grey
15,67,Melon Tint / Light Bone / Saturn Gold
16,67,Bright Crimson / Gym Red
17,67,Armory Navy / Malachite / Verde Spring / Verde Strike
1,68,Optic White / Team Red
2,68,Grey
3,68,Neo Flame / Team Red / Team Royal
4,68,Lemon Zest / Bleached Lime
5,68,Optic White / Cobalt / True Red
6,68,Black
7,68,White / White
8,68,Optic White / Team Navy
9,68,Green / Yellow / Grey
10,68,Black / White
11,68,Bright Sky / Aura / Summer Aqua
12,68,Optic White / Mercury Red / Gold
13,68,Team Sky / Blue / Spice blue / Team Royal
1,69,Half Blue / University Blue
2,69,Black / Vivid Purple / Barely Volt / Solar Red
3,69,White / White
4,69,Bleached Coral / Pale Ivory / Glacier Blue / Crimson Tint
5,69,Football Grey / Black / Flash Crimson
6,69,"""Fresh Paint"""
7,69,Black / White / Pear / Light British Tan
8,69,Pinksicle / Pink Glow / Pink Spell
9,69,Mint Foam / Psychic Purple / Flash Crimson / Concord
10,69,Black / White / Laser Orange / Citron Pulse
11,69,Black / White / White
1,70,"""Water Rhyme"""
2,70,"""Bay Area Fog"""
3,70,"""Bay Area Phantom"""
4,70,"""Sailboat"""
5,70,"""Looney PE"""
6,70,"""Captain's Log"""
7,70,Black White
8,70,"""SANY"""
1,71,Navy / White
2,71,Light Iron Ore / Gum
3,71,Game Royal / Game Royal / White
4,71,Midnight Navy / University Gold / Light Smoke Grey / Hyper Royal
5,71,Barely Grape / Hyper Violet / Light Bone / Obsidian
6,71,White / Dusty Cactus / Obsidian
7,71,Black / Apricot Agate  /White
8,71,Light Bone / Vapor Green / Swan / Anthracite
9,71,Black / Black / White
10,71,Branco / Bright Mandarin / Rosa Aster
11,71,Black / University Red / White
12,71,Multi Color / Multi Color / Baltic Blue
13,71,White / Aluminium / Thunder Blue
14,71,White / Light Smoke Grey / Black
15,71,Black / Volt / White
16,71,Total Orange / Laser Fuchsia / Vapor Green / Thunder Blue
17,71,Cool Grey / Black / White
18,71,Armory Navy / Green Frost / Bicoastal / Cyber
19,71,Black / University Red / Lime Blast / White
20,71,"""Green Glow"""
21,71,Black / Field Purple / University Gold
22,71,Field Purple / Dusty Cactus / Light Lemon Twist / White
23,71,"""Easter"""
24,71,Sail / Bicoastal / Campfire Orange / Safety Orange
25,71,Ashen Slate / Diffused Blue / University Blue / White
26,71,White / Black / University Red / Metallic Silver
27,71,Light Crimson / Bright Crimson / Gym Red / White
28,71,White / University Red / Black
29,71,Field Purple / Field Purple / White
1,72,"""Buzzer Beater"""
2,72,"""Miami Nights"""
3,72,"""Dreamer"""
4,72,"""Liberty"""
5,72,"""Galaxy"""
6,72,"""Heat"""
1,73,Arctic Night / Core Black / Acid Orange
2,73,Team Dark Green / Gold Metallic / Arctic Fusion
3,73,Pulse Mint / Silver Metallic / Silver Green
4,73,Lucid Cyan / True Blue / Lucid Cyan
5,73,Core Black / Solar Red / Core Black
6,73,Wonder Beige / Grey Five / Wonder White
7,73,Core Black / Cloud White / Carbon
8,73,Wonder Beige / Grey Five / Wonder White
9,73,Cloud White / Silver Metallic / Crystal White
10,73,Better Scarlet / Core Black / Bright Red
11,73,Orbit Grey / Core Black / Crystal White
12,73,Grey Two / Preloved Ink / Grey One
13,73,Off White / Preloved Green / Core Black
14,73,Off White / Vivid Red / Core Black
15,73,Acid Orange / Spark / Preloved Scarlet
16,73,Shadow Brown / Core Black / Off White
17,73,Semi Blue Burst / Royal Blue / Sky Tint
1,74,Fluro Green / PUMA Green / Fluro Yellow
2,74,Purple Glimmer / Green Gecko
1,75,"""Someday"""
2,75,"""Renew with one degree beyond"""
3,75,"""Ice Blade"""
4,75,"""Jimi"""
5,75,"""Winning Moment"""
6,75,"""Backyard"""
7,75,"""Be Water"""
8,75,"""Self Reflection"""
9,75,"""White Light Blue"""
1,76,White / Black
2,76,White / Black
3,76,Lemon Ice / Metallic Gold / Red
4,76,"""Bruce Lee Fire"""
5,76,White / Red
6,76,Black / Jet Grey / Red
7,76,"""Dub Nation"""
8,76,"""Bruce Lee Wind"""
9,76,Blue / Sky Blue
10,76,White / Halo Grey
11,76,White / Midnight Navy
12,76,Blue / White
1,77,Cone / Black / Brilliant Orange / Melon Tint
2,77,White / Black / Siren Red
3,77,White / University Red / Metallic Gold / Black
4,77,White / Metallic Gold / Pure Platinum
5,77,Blue / Light Marine
6,77,"""Aqua"""
1,78,Stadium Green / Hyper Violet / Barely Green / Playful Pink / University Gold
2,78,"""Deep Royal"""
3,78,Black / Dark Smoke Grey / Coconut Milk / Black
4,78,Black / Metallic Silver / Bright Crimson
5,78,University Red / White
6,78,White / Gold / Red
7,78,White / Black
8,78,Green / Mint Foam
9,78,Field Purple / Rush Fuchsia
10,78,Wolf Grey / White
11,78,Black / Vivid Purple / Bright Crimson / Metallic Silver
12,78,Red / Ember Glow
13,78,Game Royal / White
14,78,Black / White
1,79,Black / White / White / Black
2,79,White / Light Laser Orange / Soft Yellow / Light Photo Blue
3,79,Photo Blue / Barely Volt / White / Black
4,79,White / White / White
5,79,Fossil Stone / Desert Berry / Guava Ice / Celestial Gold
6,79,White / Black
7,79,Phantom / Ice Peach / Blue Lightning
8,79,Black / Pure Platinum / Wolf Grey / University Red
9,79,Malachite / Medium Soft Pink / Coconut Milk / Malachite
10,79,Noble Red / Ice Peach / Desert Berry
11,79,University Red / White
12,79,Black / Black / Black
13,79,Geode Teal / Purple Ink / Jade Ice / Stadium Green
14,79,Soft Yellow / Barely Volt / Light Laser Orange / Green Shock
1,80,"""Stars & Stripes"""
2,80,"""Ice Cream Special Box"""
1,81,"""Beyond the game"""
2,81,Black / Photo Blue / Emerald Rise
3,81,Black / Emerald Rise / Photo Blue
4,81,Malachite / Lightning / Stadium Green / Black
5,81,Luminous Green / Luminous Green / Black
6,81,Wolf Grey / White / Wolf Grey
7,81,Brown / Green / Cargo Khaki
8,81,White / Photon Dust
