critic_id,shoe_id,rating,name,date,description
29,4,8.6,MARKCHES,2025-04-28,The Way of Wade 808 5 Ultra is a solid performer after an initial break-in period. I like the traction and cushioning performance. It's lightweight and fast.
29,5,8.4,MARKCHES,2025-02-28,"The Jordan Zion 4 provides decent value for the price. The shape and fit are downsides, but the traction is reliable and the cushioning is comfortable."
36,5,8.3,Snkr Tech Talk,2025-03-20,The price point is awesome for what you're getting from the Jordan Zion 4. I love the cushioning setup and the support feels great.
43,5,8.0,The Sole Drop,2025-03-12,I like playing in the Jordan Zion 4 but it's not my type of shoe. I prefer something more fluid. The cushioning feels nice though.
37,5,7.8,Foot Doctor Zach,2025-02-28,"I can recommend the Zion 4 for people with narrow feet. It's bouncy, quick, and fun to play in."
47,5,7.6,Lukas Simoner,2025-04-12,"The Jordan Zion 4 is a slightly below-average performer. It doesn't work for my feet, but I like the cushioning setup."
24,5,7.4,RicheeKim,2025-03-12,"The Jordan Zion 4 is not it for me. My main issue is the heel slippage, but the traction was also lacking."
44,5,7.2,TommyLiu,2025-05-11,"The Jordan Zion 4 is more spacious and smoother, but the traction and materials are a letdown."
36,6,8.4,Snkr Tech Talk,2025-05-27,"I can recommend the Nike KD 18. The traction performs well, but the cushioning could be better."
43,6,8.2,The Sole Drop,2025-03-12,"The KD 18 feels like a slightly better version of the KD 17. The traction is better, but the cushioning feels the same."
24,6,8.2,RicheeKim,2025-03-24,"Nike didn't change much on the KD 18, but it's a solid performer. I like the improvements to the materials and the support."
44,6,8.2,TommyLiu,2025-05-04,"I enjoy the Nike KD 18. There are no gimmicks. The traction and cushioning get the job done, and I like the extra structure of the midfoot caging."
47,6,8.2,Lukas Simoner,2025-05-27,I like the Nike KD 18. It's more comfy but also slightly more clunky. There's not much difference from the KD 17.
37,6,7.8,Foot Doctor Zach,2025-02-28,"The Nike KD 18 feels similar to the 17. I'm not a fan of the shank plate, but the shoe's overall performance is decent."
43,7,8.6,The Sole Drop,2025-03-12,I thoroughly enjoyed playing in the Nike LeBron NXXT Genisus. The only downsides are the shoe's short length and restrictive heel. Everything else performed exceptionally well.
36,7,8.2,Snkr Tech Talk,2025-04-03,"The Nike LeBron NXXT Genisus is a good basketball shoe, but not at the retail price. The traction is consistent, and the support and fit feel secure. I wish they kept the heel Zoom bag, though."
47,7,8.2,Lukas Simoner,2025-04-28,"The Nike LeBron NXXT Genisus is a weird basketball shoe. The cushioning takes a step back, but the traction plays well, and I like the fit."
37,7,8.1,Foot Doctor Zach,2025-02-28,The Nike LeBron NXXT Genisus has consistent traction with plenty of rigid containment.
24,7,8.0,RicheeKim,2025-02-28,The Nike LeBron NXXT Genisus is a good shoe. My only issue was some sliding with the traction on dirty courts. Everything else performs well.
44,7,7.8,TommyLiu,2025-02-28,I didn't like the Nike LeBron NXXT Genisus much. I prefer the previous iteration because of its better traction performance and upper.
43,8,8.8,The Sole Drop,2025-04-12,"The Nike G.T. Cut 3 Turbo is a fantastic performer. It has a high price tag, but I love the traction and upgraded support."
44,8,8.8,TommyLiu,2025-04-12,"The Turbo is a much different shoe than the original. Lockdown and containment feel better, and I still love the cushioning."
37,8,8.7,Foot Doctor Zach,2025-04-12,I recommend the Nike G.T. Cut 3 Turbo for anyone who enjoys the original but wants a more stable experience.
24,8,8.2,RicheeKim,2025-04-12,"The Nike G.T. Cut 3 Turbo has improved support and lockdown, but the increased price is not worth it."
37,9,9.1,Foot Doctor Zach,2025-01-27,The 361 Joker 1 feels very plush and comfortable without sacrificing much performance.
43,9,8.8,The Sole Drop,2025-01-27,"The 361 Joker 1 feels like a guard shoe. The traction is reliable, the court feel is responsive, and the well-balanced cushioning does everything well."
44,9,8.8,TommyLiu,2025-03-12,The 361 Joker 1 is a banger. It's traction and cushioning are elite.
36,9,8.7,Snkr Tech Talk,2025-01-27,"The 361 Joker 1 is a superb performance basketball shoe. I love the material usage, and the traction and cushioning are excellent."
24,9,8.6,RicheeKim,2025-01-27,The 361 Joker 1 offers a lot of quality and performance for the price. I love the well-balanced cushioning. The only downside is the traction performance on dust.
47,10,9.0,Lukas Simoner,2025-02-09,"I love playing in the Adidas Harden Volume 9, and the improvements to the fit and support are welcomed."
37,10,9.0,Foot Doctor Zach,2025-01-09,"The Adidas Harden Volume 9 is much more nimble than it looks. The cushioning is springy, and the upper construction is impressive for stability."
46,10,8.8,Jeremy Jones,2025-02-15,"The Adidas Volume Harden 9 might be Harden's best signature shoe. The fit, support, and cushioning are all outstanding."
36,10,8.6,Snkr Tech Talk,2025-01-14,The Adidas Harden Volume 9 is a solid performance model suited for all positions. I like the cushioning and support aspects of the shoe the most.
44,10,8.6,TommyLiu,2025-01-24,"The Harden Volume 9 is an A-tier performer, thanks to its excellent cushioning, secure support, and decent traction."
29,10,8.4,MARKCHES,2025-01-09,"I like the Adidas Harden Volume 9. It feels lighter than the last model, and the cushioning is springy. My main gripe is the dust pickup on the outsole."
32,10,8.4,ShadeSnSoleS [Youtube],2025-07-12,The Adidas Harden Volume 9 offers an incredible combination of bounce and stability. I like what Adidas did with this setup.
48,10,8.2,DG Hoops,2025-01-29,I like the Adidas Harden Volume 9. The performance is consistent with the previous two models.
24,10,8.2,RicheeKim,2025-02-15,The Adidas Harden Volume 9 is a good performance shoe but doesn't do enough to differentiate itself from its predecessor.
45,10,8.2,KicksContestWorld,2025-06-01,The Harden Vol 9 has excellent cushioning and traction. It could be better with a more refined fit.
43,10,8.0,The Sole Drop,2025-01-19,"I didn't enjoy playing in the Adidas Harden Volume 9 because of its poor traction performance and clunky heel section. However, the support and cushioning are solid."
36,11,8.7,Snkr Tech Talk,2025-03-12,"I like the Puma Scoot Zero 2 much more than last year's shoe. The price point is excellent, and I love the traction performance."
43,11,8.2,The Sole Drop,2025-01-27,The Puma Scoot Zeros 2 surpassed my expectations. The traction and support excel and make the shoe fun.
37,11,8.1,Foot Doctor Zach,2025-01-27,The Puma Scoot Zeros 2 provides a lot of confidence when moving side to side and changing directions. I like the implementation of the traction and midsole.
24,11,7.8,RicheeKim,2025-02-03,The Puma Scoot Zeros 2 is a solid pickup for the price. There are better shoes but the traction and support are decent.
37,12,8.8,Foot Doctor Zach,2025-01-29,"The Rigorer AR 2 is an excellent shoe for players who move a lot on the court. Thanks to its cushioning, it feels light on the bottom and well-protected."
36,12,8.7,Snkr Tech Talk,2025-01-27,I think the Rigorer AR 2 is a fun basketball shoe. I love the upgraded cushioning and the secure fit and support.
24,12,8.6,RicheeKim,2025-06-13,"The Rigorer AR 2 feels like a steal for the price. The cushioning is an upgrade, and the support and traction also perform very well."
43,12,8.4,The Sole Drop,2025-01-27,The Rigorer AR 2 feels quick and responsive. I like how it feels like a guard shoe with comfortable cushioning.
48,12,8.4,DG Hoops,2025-01-27,The Rigorer AR 2 performs a lot better than expected. I like the upgraded cushioning and the shoe feels more locked down.
44,12,8.4,TommyLiu,2025-03-03,"I was not a fan of the AR 1, but I enjoy the Rigorer AR 2. The traction is excellent, and the upgraded cushioning is fantastic."
29,12,8.2,MARKCHES,2025-02-15,"The Rigorer AR 2 is an upgrade from the AR 1. The main improvement is the cushioning, which is softer and bouncier."
39,12,8.0,Evan Miranda [weartesters.com],2025-01-29,The Rigorer AR 2 is a significant upgrade over its predecessor. It's a well-rounded shoe with excellent traction and responsive cushioning. The support and build also hold up well.
37,13,8.6,Foot Doctor Zach,2024-12-21,I like the Curry Fox 1 better than the signature Curry 12. The added shank makes the midsole cushioning feel more lively.
43,13,8.4,The Sole Drop,2024-12-27,"I love the look of the Curry Fox 1, and the performance is similar to any other Curry or Under Armour shoe that features Flow foam. The traction excels on clean courts and the cushioning is adequate."
24,13,8.2,RicheeKim,2025-01-09,The Curry Fox 1 is a solid performer in its price range. It's a good pickup if you play on mostly clean courts.
44,13,7.6,TommyLiu,2025-01-27,"The Curry Fox 1 is a decent low-top guard shoe. It's nothing special, and its performance features are mostly average."
37,14,8.0,Foot Doctor Zach,2024-12-21,"The Adidas Dame Certified 3 is a durable, stable-feeling shoe that can deal with an orthotic well."
44,14,7.6,TommyLiu,2024-12-21,"If you like an affordable and usable performance shoe, the Adidas Dame Certified 3 is a solid pick. The traction and cushioning were decent for me."
24,14,7.4,RicheeKim,2024-12-21,I can't recommend the Adidas Dame Certified 3 because of the heel slippage and traction on dust. I do like the Bounce foam and fit though.
43,14,7.4,The Sole Drop,2024-12-21,Do not get the Adidas Dame Certified 3. I can't recommend it. The full-length Bounce is soft but I had issues with the traction and heel slippage.
36,15,9.4,Snkr Tech Talk,2025-03-28,The Li-Ning Way of Wade All City 13 is a performance beast. I'll keep this pair in my bag for the foreseeable future.
37,15,9.2,Foot Doctor Zach,2024-12-21,The Way of Wade All City 13 is one of the best playing shoes I ever put on. They do everything well and there are no glaring issues.
43,15,9.0,The Sole Drop,2025-01-02,"This shoe feels minimal, responsive, and comfortable. It's almost the perfect guard shoe."
47,15,9.0,Lukas Simoner,2025-01-05,"The Way of Wade All City 13 is already one of the best shoes available. The traction and cushioning are both excellent, and the fit feels better."
44,15,8.8,TommyLiu,2024-12-21,The Way of Wade All City 13 is an excellent performer. I would put the shoe in the A or S tier. It's firm on the outside and comfy on the inside.
24,15,8.6,RicheeKim,2025-01-05,The Li-Ning Way of Wade All City 13 might be my favourite Wade shoe. It's an all-around beast of a performer.
29,15,8.6,MARKCHES,2025-05-27,The All City 13 is a very dependable shoe. The traction and cushioning always played well.
37,16,8.9,Foot Doctor Zach,2024-12-21,The Way of Wade Shadow 6 is fantastic for getting up and down the court. The shank and midsole foam also provide a lot of snap and pop.
44,16,8.8,TommyLiu,2024-12-21,"The Way of Wade Shadow 6 performed beyond my expectations. The shoe offers insane value for the price, particularly with cushioning."
24,16,8.6,RicheeKim,2024-12-21,The Shadow 6 is a top-tier budget performer. The traction and cushioning are outstanding at this price.
43,16,8.4,The Sole Drop,2024-12-21,The Way of Wade Shadow 6 is a well-cushioned shoe with great traction performance.
36,16,8.3,Snkr Tech Talk,2024-12-21,"The Way of Wade Shadow 6 is a great shoe at a great price. I don't care for the materials but the traction, cushioning, and support are top-tier."
39,16,8.0,Evan Miranda [weartesters.com],2025-01-24,The Way of Wade Shadow 6 is an impressive shoe for the money. Its cushioning and traction are more than worth the price.
39,17,9.5,Evan Miranda [weartesters.com],2025-01-09,"The Anta KT 10 is the best basketball shoe of 2024. It's an elite, versatile, well-rounded performer with little to no flaws."
37,17,9.4,Foot Doctor Zach,2025-01-09,The KT 10 is awesome. It's nearly pitch-perfect. I love the stopping power and outsole flange.
44,17,9.0,TommyLiu,2025-01-09,I would place the Anta KT 10 in the S-tier of basketball shoes. It's an elite shoe with fantastic cushioning and traction.
29,17,8.6,MARKCHES,2025-02-03,"Anta made minor adjustments to the KT 10, which made a big difference. The cushioning and support are impressive."
43,17,8.0,The Sole Drop,2025-01-09,"I love the cushioning and stability of the Anta KT 10, but the traction on dusty courts made me feel unsafe."
7,18,8.0,Nelson Chan @Hoop and Life,2024-11-11,"Everything about the Tatum 3 is decent. Some aspects could be better like the traction, but it works well overall."
24,18,7.8,RicheeKim,2024-11-11,I can't recommend the Jordan Tatum 3. The containment issues and dust pick-up turned me away. I do like the comfortable cushioning.
1,18,7.8,NightWing2303 [weartesters.com],2024-11-11,The Jordan Tatum 3 is Jayson Tatum's best signature sneaker so far. The cushioning and traction perform well.
46,18,7.8,Jeremy Jones,2024-11-22,This is the best Tatum shoe to drop so far. It's nice to see a brand slowly improve.
36,18,7.8,Snkr Tech Talk,2024-11-22,I recommend waiting for a sale before getting the Jordan Tatum 3. It's the best shoe in the lineup because of the traction. The cushioning could be better and the support is decent.
44,18,7.7,TommyLiu,2024-11-11,The Jordan Tatum is smoother than previous models. The outsole composition is better and I like the material usage.
37,18,7.2,Foot Doctor Zach,2024-11-11,"When the Tatum 3 grips, it offers light, quick pop and performance. The problem is the shoe is inconsistent."
43,18,7.2,The Sole Drop,2024-11-11,The Jordan Tatum 3 let me down. I can't recommend it because of the inconsistent traction and the lack of support.
37,19,8.8,Foot Doctor Zach,2024-11-11,"The Nike LeBron 22 has excellent traction and cushioning. The support also feels good. The main con is the weight, but the shoe feels great despite being heavier."
36,19,8.8,Snkr Tech Talk,2024-11-22,"The Nike LeBron 22 is a very nice performer. The biggest downfall is traction on dirty floors, but the cushioning and support are awesome."
43,19,8.8,The Sole Drop,2024-11-22,"I enjoy playing in the Nike LeBron 22, especially on clean courts. The cushioning is outstanding, the fit feels great, and the support and lockdown contain me well."
24,19,8.6,RicheeKim,2024-11-22,I really enjoy the Nike LeBron 22. My only issue is the dust pickup on the traction. All of the other features are outstanding.
44,19,8.5,TommyLiu,2024-11-11,"I would say the Nike LeBron 22 took a step back. It feels slower and heavier. However, the traction and cushioning still feel good."
29,19,8.4,MARKCHES,2024-11-14,The Nike LeBron 22 isn't much improved in performance compared to the LeBron 21. It's still an impressive and dependable shoe with improved materials.
45,19,8.4,KicksContestWorld,2025-06-13,"The Nike LeBron 22 is a solid performance shoe for heavier players, thanks to its excellent stability and cushioning."
7,19,8.0,Nelson Chan @Hoop and Life,2024-11-11,"Despite all the tech, the Nike LeBron 22 feels mid to me. Traction and support are solid, but I'm not a fan of the materials and comfort."
36,20,8.5,Snkr Tech Talk,2024-11-02,"I enjoyed playing in the Nike Ja 2. It's Kobe-esque, but there are other better-cushioned options available. The traction plays well, and I like the snug fit."
44,20,8.4,TommyLiu,2024-11-01,"The Nike Ja 2 is one of the most practical, no-BS Nike shoes. The shoe's strengths are traction, weight, and agility."
37,20,8.4,Foot Doctor Zach,2024-10-11,The outsole traction performance makes the Nike Ja 2 a fun shoe. The downside is this shoe feels too similar to the Sabrina 2.
45,20,8.4,KicksContestWorld,2025-05-17,The Nike Ja 2 is a good basketball shoe. I enjoyed the traction performance. The shoe is best for lightweight and shifty players.
1,20,8.2,NightWing2303 [weartesters.com],2024-10-11,"I like the Nike Ja 2 slightly more than the Ja 1. The outsole is grippy and the cushioning feels a bit better. Like all Nike basketball shoes lately, this reminds me of Kobe shoes."
29,20,8.0,MARKCHES,2024-10-23,"The Nike Ja 2 is a lightweight performance shoe with awesome traction. However, the impact protection is lacking."
24,20,8.0,RicheeKim,2024-10-30,The Nike Ja 2 is a solid performer with decent traction and cushioning.
43,20,7.8,The Sole Drop,2024-10-16,"I prefer the Nike Ja 1 because of the fit, but the Ja 2 provides a softer, minimal upper. The comfort feels decent, and the traction performs well."
46,20,7.8,Jeremy Jones,2024-10-23,The Nike Ja 2 feels like a generic and basic Nike sneaker. The traction plays well and is the best feature.
47,20,7.6,Lukas Simoner,2025-04-12,"There are two main changes to the Nike Ja 2. It feels less supportive, but the materials are better. The traction remains a strong point."
36,21,8.5,Snkr Tech Talk,2024-11-26,"The Puma MB.04 is the best-fitting shoe in LaMelo Ball's line. However, the rest of the performance feels like last year's model. I like the traction and support."
37,21,8.0,Foot Doctor Zach,2024-10-11,The Puma MB.04 is surprisingly nimble for a maximalist shoe. It feels slightly more stable and the grip plays well.
24,21,8.0,RicheeKim,2024-10-11,"The Puma MB.04 is a solid shoe for the price. My main complaints are the bulk and the design. I like the traction and impact protection, though."
44,21,7.4,TommyLiu,2024-11-14,"Hopefully, Puma can improve next time because the MB.04 is an inconsistent performer. Dust heavily affects the traction, and the support is lacking."
43,21,7.4,The Sole Drop,2024-11-22,"I'm unsure what direction Puma is taking the MB.04. It's comfortable and cozy, but the traction and fit could be better."
19,22,9.0,PureKicks,2024-11-11,"The outdoor durability is the only knock on the Nike Kobe 9 Elite Low Protro. It has the best traction, and I like the materials and support."
43,22,8.8,The Sole Drop,2024-11-11,The Nike Kobe 9 Elite Low Protro breaks in extremely nicely. The traction and cushioning are very enjoyable to play in. My main complaint is the narrow fit.
1,22,8.8,NightWing2303 [weartesters.com],2024-11-11,The Nike Kobe 9 Elite Low Protro is the same as the original but with a new drop-in midsole. The traction is elite and the cushioning feels better.
48,22,8.8,DG Hoops,2024-11-11,The Nike Kobe 9 Protro feels close to the original in performance. I like this setup better than the Kobe 8 Protro.
37,22,7.8,Foot Doctor Zach,2024-11-11,"The Nike Kobe 9 Elite Low Protro feels great when they're gripping. The cushioning is bouncy, and the traction is outstanding on clean courts."
37,23,9.0,Foot Doctor Zach,2024-11-11,The Anta Shock Wave 6 provides incredible responsiveness and push-off power. The cushioning is snappy and the traction's stopping power is fantastic.
43,23,8.8,The Sole Drop,2024-11-11,"The Anta Shock Wave 6 feels lightweight, minimal, and responsive. I felt quick when playing in this shoe."
44,23,8.4,TommyLiu,2024-11-11,The Anta Shock Wave 6 is nothing special but has no downsides. All of the features work well. This feels like Anta's take on a Nike Kyrie Low.
29,23,8.2,MARKCHES,2024-11-11,The Anta Shock Wave 6 is a low-to-the-ground and responsive performer. The shoe is lightweight and responsive but lacks impact protection.
24,24,8.6,RicheeKim,2024-09-21,"The New Balance Hesi Low V2 is an impressive shoe for the price. The traction, materials, and cushioning are all solid. This shoe is a definite improvement from the V1."
44,24,8.6,TommyLiu,2024-09-21,"The New Balance Hesi Low V2 is one of the best affordable performers of the year. It hits a solid price point, has excellent traction, and has impressive cushioning."
43,24,8.4,The Sole Drop,2024-09-21,The New Balance Hesi Low V2 is a minimal shoe with soft and comfortable cushioning. I enjoyed playing in this shoe thanks to the traction.
47,24,8.4,Lukas Simoner,2025-05-17,"The New Balance Hesi Low V2 is underrated. The traction performance is fantastic, and I like how light and fast the setup feels."
37,24,8.0,Foot Doctor Zach,2024-09-21,"The New Balance Hesi Low V2 offers plenty of performance for your money. It's low to the ground, and the grip is solid. I like how streamlined the setup feels."
44,25,8.6,TommyLiu,2024-09-21,"The Adidas Dame 9 might be the best Adidas shoe this year. This is an excellent performer. The traction is top-tier, and the cushioning is very comfortable."
24,25,8.6,RicheeKim,2024-10-03,"The Adidas Dame 9 is a solid performer. It performs very well on clean courts, and the cushioning feels impressive. My only issue was with the dust performance."
36,25,8.6,Snkr Tech Talk,2024-11-06,"The Adidas Dame 9 offers excellent value for money. Its traction, cushioning, fit, and materials make it a superb basketball shoe."
47,25,8.6,Lukas Simoner,2025-05-11,The Adidas Dame 9 is one hell of a performer. I love the cushioning and the support features.
37,25,8.5,Foot Doctor Zach,2024-09-21,The Adidas Dame 9 feels buttery and quick. It allows extra freedom while maintaining the containment.
46,25,8.4,Jeremy Jones,2024-09-23,Adidas came through with the Dame 9. I enjoyed the traction and fit; the cushioning also feels plush and comfortable.
29,25,8.4,MARKCHES,2024-10-16,The Adidas Dame 9 is a solid performer because of its traction and support. My only complaint is the flat heel-to-toe transition.
32,25,8.4,ShadeSnSoleS [Youtube],2025-07-12,The Adidas Dame 9 feels premium without needing premium materials. I'm a big fan of the price.
19,25,8.0,PureKicks,2024-09-21,"I love the traction, cushioning, and support of the Adidas Dame 9, but the breathability does take a few points off."
43,25,8.0,The Sole Drop,2024-09-29,I felt quick and comfortable playing in the Adidas Dame 9. This shoe has the best cushioning and support for an Adidas basketball shoe.
39,26,8.5,Evan Miranda [weartesters.com],2024-10-16,"The Nike Giannis Immortality 4 is a solid performing shoe, especially for the price. The traction performance is great, and the outsole will last outdoors."
47,26,8.4,Lukas Simoner,2024-10-21,The Giannis Immortality 4 provides much better value for money than the main signature. The traction performance is reliable and the cushioning feels better this year.
44,26,8.2,TommyLiu,2024-09-21,"The Nike Giannis Immortality 4 is an excellent shoe for the price. The materials are cheap but stronger, which was much needed."
24,26,8.0,RicheeKim,2024-09-21,I like the price reduction for the Nike Giannis Immortality 4. The materials update makes this shoe more comfortable performance-wise.
37,26,7.8,Foot Doctor Zach,2024-09-21,"The Giannis Immortality 4 is a better shoe than the Zoom Freak 6, for the money, because of the containment and shank usage. I like the bottom-light midfoot setup, too."
43,26,7.8,The Sole Drop,2024-09-21,There are better shoes out than the Nike Giannis Immortality 4. The pros are the price and the supportive materials if you can deal with a break-in period.
37,27,9.0,Foot Doctor Zach,2024-09-21,"The New Balance TWO WXY V5 is an upgrade on the V4, but only a minor upgrade. The traction and cushioning are fantastic."
44,27,8.8,TommyLiu,2024-09-21,"The New Balance TWO WXY V5 is responsive, bouncy, and comfortable. This shoe continues the great performance of its predecessor."
36,27,8.7,Snkr Tech Talk,2025-05-27,"The New Balance TWO WXY V5 is a superb performer. It's the total package, offering everything you need in a basketball shoe."
43,27,8.6,The Sole Drop,2024-10-16,This shoe has fantastic cushioning and solid traction. I think the TWO WXY V5 shoe will have something for everyone.
39,27,8.5,Evan Miranda [weartesters.com],2025-05-04,"The New Balance TWO WXY V5 is a versatile basketball shoe. The traction is elite, and I enjoyed the cushioning performance."
24,27,8.4,RicheeKim,2024-10-16,"The New Balance TWO WXY V5 is an impressive performance shoe. It has everything you need and nothing you don't, and for the price, you can't go wrong."
37,28,9.1,Foot Doctor Zach,2024-11-11,"The Anta KAI 1 Speed has fantastic push-off power, and the shoe propels you in whatever direction you're moving. I like the fit, materials, and outsole tread."
36,28,9.0,Snkr Tech Talk,2024-11-11,"The Anta KAI 1 Speed is an awesome shoe to play in. I felt protected in all movements, the traction was superb, and the cushioning was impressive. This is a top-five shoe for 2024."
43,28,9.0,The Sole Drop,2024-11-11,The quality and tech of the Anta KAI 1 Speed are top-notch. It feels like the KAI 1 but it's lower to the ground and more responsive.
44,28,8.5,TommyLiu,2024-11-11,"The Anta KAI 1 Speed is faster, lighter, and stiffer than the KAI 1. This shoe is better for players who prioritize fast play styles."
24,29,8.4,RicheeKim,2024-08-06,"The Jordan Luka 3 is a solid performance hoop shoe, especially at this price. The traction bites well, and the cushioning is comfortable. Make sure to wipe the dust, though."
48,29,8.4,DG Hoops,2024-08-07,"The Jordan Luka 3 performance surprised me. The design and construction make the fit and support feel better, and the materials do the job well."
43,29,8.2,The Sole Drop,2024-08-06,I love the performance of the Jordan Luka 3 on clean courts. Dust pickup drops the performance slightly but it's still a solid shoe.
46,29,8.2,Jeremy Jones,2024-08-17,"There's nothing special about the Jordan Luka 3, but there's nothing that will hinder you as well."
44,29,8.2,TommyLiu,2024-10-10,"The Luka 3 doesn't feel premium, but the performance is decent. It caters to slower-paced players or spot-up shooters. I like the containment and traction."
45,29,8.2,KicksContestWorld,2024-11-26,"The Jordan Luka 3 is best for bigger players. I like the stability, lockdown, and impact protection."
36,29,8.2,Snkr Tech Talk,2025-03-12,"The Jordan Luka 3 is my favourite from his lineup so far. I love the support and containment, as well as the traction and cushioning."
37,29,8.0,Foot Doctor Zach,2024-08-06,"The Jordan Luka 3 is my favourite shoe within the Luka signature line. The traction is tacky, and the upper materials are supportive. I also like the Cushlon foam in the midsole."
44,30,9.0,TommyLiu,2024-08-17,"The Jordan 39 is a top-tier hoop shoe because of its traction, cushioning, comfort, and fit. The only downside is the lack of an outrigger."
36,30,8.8,Snkr Tech Talk,2024-08-06,"The Air Jordan 39 is an excellent basketball shoe. The cushioning, fit, and materials are outstanding. However, there's a lack of side-to-side stability and breathability."
1,30,8.6,NightWing2303 [weartesters.com],2024-08-07,"The Air Jordan 39 is so close to being fantastic. The cushioning performance is great, and I love the materials, but the lack of stability hurts."
46,30,8.4,Jeremy Jones,2024-08-27,"The Air Jordan 39 has excellent cushioning and materials. This shoe caters to bigger, powerful players well."
24,30,8.0,RicheeKim,2024-08-19,"I like everything about the Jordan 39 except for the support and stability. The cushioning is very comfortable, but I wish they would've put in a shank."
47,30,8.0,Lukas Simoner,2024-09-08,"The Air Jordan 39 performance was not what I expected. The cushioning is too soft for smaller, shiftier players, but the materials are impressive."
45,30,7.6,KicksContestWorld,2025-01-19,"I wouldn't recommend the Air Jordan 39 for bigger players because of the lack of stability. However, the traction is elite and the cushioning is decent."
43,30,7.4,The Sole Drop,2024-08-11,"I didn't mind the Air Jordan 39 on clean courts, but there are a few too many negatives. The dust pickup causes sliding, and there's a lack of lateral stability."
37,30,7.2,Foot Doctor Zach,2024-08-06,"The Air Jordan 39 is a fantastic shootaround shoe. The comfort is outstanding, but the lack of stability makes cutting and planting difficult."
36,31,8.7,Snkr Tech Talk,2024-09-15,"I love the bang for your buck the Adidas AE 1 Low offers. My main gripe is the fit and sizing. However, the cushioning, traction, and support are all impressive."
1,31,8.4,NightWing2303 [weartesters.com],2024-09-05,"The AE 1 Low is still a solid performer. I enjoy the Lows better because of the fit, but the main difference between the two shoes is cushioning. The Lows are firmer."
32,31,8.4,ShadeSnSoleS [Youtube],2025-07-05,"I like how the Adidas AE 1 Lows perform. The cushioning and support cater well to my play style, and I didn't have any issues with the traction."
24,31,8.2,RicheeKim,2024-08-18,"The Adidas AE 1 Low is a great shoe for the price. It's not for everyone because of the lack of impact protection, but I like the traction. The materials feel better on feet too."
37,31,8.0,Foot Doctor Zach,2024-08-18,The Adidas AE 1 Low feels clunky enough to be noticeable on feet. The shoe performance doesn't feel the same without the bigger ankle collar and upper materials.
