shoe_id,name,brand,release_date,shoe_type,description,price,expert_rating,traction_rating,cushion_rating,materials_rating,support_rating,fit_rating,outdoor_rating,size,width
38,Nike Sabrina 2,Nike,2024-07-01,Mid Top,The shoe is a great pick for responsive and quick guards. The court feel and responsiveness will cater well to that play style.,129.99,8.5,9.0,8.1,8.0,8.5,8.6,22.0,slightly long,slightly wide
39,Nike GT Hustle 3,Nike,2024-07-01,Mid Top,These shoes are best for bigs who get off the ground often and require impact protection.,189.99,8.4,8.4,9.5,8.4,7.6,8.1,40.0,true to size,regular
40,Nike G.T. Hustle Academy,Nike,2024-07-01,Low Top,This shoe is best for lighter players with a mobile play style.,94.99,7.0,8.3,5.3,7.4,6.3,7.6,33.0,true to size,regular
41,Li-Ning Wade 808 4 Ultra,Li-Ning,2024-07-01,Low Top,The 808 4 Ultra is best as a balanced performance shoe. It provides excellent performance in all aspects of the shoe.,94.99,8.7,9.4,9.5,8.0,8.3,8.2,25.0,true to size,regular
42,Nike Kobe Protro 8,Nike,2024-06-01,Low Top,The shoe is best for quicker guards looking for an excellent court feel.,189.99,8.4,9.3,7.7,7.9,8.5,8.3,20.0,true to size,regular
43,Nike G.T. Cut Cross,Nike,2024-05-01,Low Top,This is a solid option for outdoor play on a budget.,109.99,8.1,9.0,7.8,8.0,8.0,7.8,33.0,true to size,regular
44,Puma Stewie 3,Puma,2024-05-01,Low Top,Players who don't require much bounciness and excel with low-to-the-ground setups.,124.99,8.0,7.3,7.8,8.3,8.5,8.0,0.0,true to size,regular
45,Jordan Zion 3 SE,Jordan,2024-04-01,Low Top,The Jordan Zion 3 SE is best for narrow-foot players who like a drop-in midsole setup.,149.99,7.5,6.5,8.3,8.0,8.0,6.6,25.0,slightly small,slightly narrow
46,New Balance Kawhi 4,New Balance,2024-04-01,Low Top,"The New Balance Kawhi 4 is best for players who enjoy springy, plush cushioning setups.",169.99,8.4,8.9,8.8,8.2,8.2,7.9,14.0,slightly long,slightly wide
47,Nike KD 17,Nike,2024-04-01,Low Top,The Nike KD 17 is best for players who enjoyed the 16 and are looking for better traction.,149.99,8.1,8.8,8.5,7.9,7.6,7.7,25.0,slightly long,regular
48,Adidas Harden Volume 8,Adidas,2024-03-01,Low Top,The Harden Vol 8 is best for players who use powerful footwork to create space.,159.99,8.6,9.0,9.2,7.8,8.8,8.2,7.0,slightly long,regular
49,Jordan Tatum 2,Jordan,2024-03-01,Low Top,The Tatum 2 is best for players who prefer balanced setups with Air Strobel.,124.99,7.7,7.1,7.7,7.6,8.4,7.9,20.0,true to size,slightly narrow
50,ANTA KAI 1,ANTA,2024-03-01,Low Top,The Anta KAI 1 is best for tactile players looking for a responsive and low-to-the-ground setup.,124.99,8.4,8.2,8.8,8.2,8.4,8.2,36.0,slightly long,regular
51,Li-Ning JB 2,Li-Ning,2024-03-01,Low Top,This shoe is perfect for players who appreciate maximum comfort.,289.99,8.4,8.6,9.4,8.2,7.8,8.2,17.0,true to size,regular
52,Nike Book 1,Nike,2024-02-01,Low Top,"The Nike Book 1 is better for lighter, shiftier players.",149.99,8.3,8.6,8.0,8.7,7.9,7.9,50.0,true to size,regular
53,Under Armour Flow FUTR X Elite,Under Armour,2024-02-01,High Top,"This shoe is best for players who prefer a wider, more accommodating forefoot area during play.",149.99,8.2,9.2,8.0,7.9,8.2,7.5,0.0,slightly long,slightly wide
54,New Balance Fresh Foam BB V2,New Balance,2024-02-01,Low Top,Explosive players who emphasize a vertical play style will appreciate the New Balance Fresh Foam BB V2.,129.99,8.7,9.0,9.0,8.4,8.8,8.2,50.0,slightly long,regular
55,Nike Air Zoom G.T. Cut 3,Nike,2024-01-01,Low Top,The Nike G.T. Cut 3 is a shifty shoe best for guards.,189.99,8.3,8.7,8.8,8.0,7.8,8.2,17.0,slightly long,regular
56,Air Jordan 38 Low,Jordan,2024-01-01,Low Top,All players can take advantage of the comfortable cushioning and reliable traction.,174.99,8.6,8.3,9.5,8.4,8.3,8.2,25.0,slightly long,regular
57,Adidas Dame Certified 2.0,Adidas,2024-01-01,Low Top,"The shoe is for players who prefer thin, responsive cushion setups with grippy traction.",89.99,8.2,8.7,7.5,8.0,8.3,8.3,75.0,slightly long,slightly wide
58,Nike G.T. Cut Academy,Nike,2024-01-01,Low Top,This shoe is best for players looking for shifty and reliable traction.,94.99,8.2,9.1,8.0,7.6,7.9,8.1,40.0,true to size,regular
59,Jordan One Take 5,Jordan,2024-01-01,Low Top,The Jordan One Take 5 is best for players who play around the hoop.,99.99,7.4,7.8,7.4,7.2,7.6,7.3,33.0,slightly long,regular
60,Adidas Adizero Select 2.0,Adidas,2024-01-01,Low Top,The Adizero Select 2.0 is best for side-to-side shiftiness.,109.99,7.6,8.0,7.0,8.2,7.6,7.4,0.0,slightly long,regular
61,Adidas AE 1,Adidas,2023-12-01,Mid Top,The shoe is best for more powerful players who can utilize the bottom-heavy cushioning.,119.99,8.7,9.2,9.0,8.0,8.5,8.7,21.0,slightly long,slightly wide
62,Puma Scoot Zeros,Puma,2023-12-01,Low Top,This shoe is best for guards who prefer a responsive cushion setup over impact protection.,99.99,7.6,7.8,7.1,7.3,8.0,8.0,25.0,true to size,regular
63,Under Armour Curry Spawn FloTro,Under Armour,2023-12-01,High Top,This shoe is best for guards with fast play styles who benefit from the Flow traction.,129.99,8.4,10.0,8.3,7.8,7.8,8.3,0.0,true to size,regular
64,Li-Ning Way of Wade All City 12,Li-Ning,2023-12-01,Low Top,The Way of Wade All City 12 is best for guards or players who play fast and rely on court feel and responsiveness.,149.99,8.9,9.3,9.4,8.3,9.1,8.3,83.0,slightly long,regular
65,Adidas D.O.N. Issue 5,Adidas,2023-11-01,Low Top,The Adidas D.O.N. Issue #5 is best for players who like to get up and down the court quickly.,119.99,8.1,8.3,7.3,8.0,8.7,8.3,50.0,true to size,regular
66,New Balance Hesi Low,New Balance,2023-11-01,Low Top,The New Balance Hesi Low is best for shifty players who don't need much impact protection.,109.99,7.7,7.5,7.5,7.5,8.0,8.0,100.0,true to size,slightly wide
67,Nike Lebron 21,Nike,2023-10-01,Low Top,"The Nike LeBron 21 is fit for all play styles because of the mix of traction, cushioning and support.",199.99,8.9,9.0,9.4,8.5,9.0,8.4,8.0,true to size,regular
68,New Balance TWO WXY V4,New Balance,2023-10-01,Low Top,This is the perfect pick for players seeking versatility in play style and court surface durability.,119.99,8.4,8.7,8.5,8.0,8.6,8.2,75.0,slightly long,regular
69,Jordan Zion 3,Jordan,2023-10-01,Low Top,The Zion 3 is best for heavier players with fast-paced play styles.,139.99,8.0,7.9,8.3,7.8,8.4,7.3,25.0,true to size,slightly narrow
70,ANTA KT 9,ANTA,2023-10-01,Mid Top,This shoe is best for players seeking stability and impact protection.,169.99,8.7,8.5,9.1,8.5,9.1,8.0,0.0,true to size,slightly narrow
71,Nike Lebron Witness 8,Nike,2023-10-01,Mid Top,The Witness 8s are best for flat-footed players who rely on moving up and down the court.,109.99,7.7,8.5,7.0,7.6,7.0,8.3,63.0,true to size,regular
72,Li-Ning Wade Shadow 5,Li-Ning,2023-10-01,Low Top,This shoe is best for outdoor play.,129.99,8.0,7.7,7.7,8.0,9.0,7.7,100.0,true to size,regular
73,Adidas Trae Young 3,Adidas,2023-09-01,Low Top,"This shoe is meant for shifty players with a quick, grounded playstyle.",139.99,8.0,8.4,8.2,7.6,8.2,7.4,0.0,slightly long,slightly wide
74,Puma MB.03,Puma,2023-09-01,Mid Top,This shoe is best for players who want a stable shoe with plenty of impact protection.,139.99,8.3,8.3,8.1,8.0,8.6,8.3,20.0,slightly long,regular
75,361 AG 4,361,2023-09-01,Low Top,This shoe is best for players who jump often and require soft cushioning.,99.99,8.6,9.3,9.0,8.3,8.3,8.3,38.0,slightly long,regular
76,Under Armour Curry 11,Under Armour,2023-09-01,Low Top,The Under Armour Curry 11 is the perfect shoe for quick and shifty guards.,159.99,8.7,9.3,8.7,8.5,8.4,8.4,13.0,true to size,regular
77,Air Jordan 38,Jordan,2023-08-01,High Top,This is a perfect shoe for players looking for maximalist containment.,199.99,8.6,8.5,9.3,8.6,8.6,8.1,13.0,slightly long,regular
78,Nike KD 16,Nike,2023-08-01,Low Top,The shoe has something for all positions. There are no outstanding weaknesses.,159.99,8.4,8.4,8.7,8.1,8.5,8.2,13.0,true to size,regular
79,Nike Giannis Immortality 3,Nike,2023-08-01,Low Top,The Giannis Immortality 3 is a perfect budget pick for quick and minimal players.,84.99,7.9,8.6,7.6,7.6,8.0,7.8,60.0,true to size,regular
80,Rigorer AR 1,Rigorer,2023-08-01,Low Top,These shoes are a fantastic pick for players who change their pace often.,139.99,8.4,9.3,8.1,8.1,8.5,8.0,67.0,slightly long,regular
81,Nike Sabrina 1,Nike,2023-08-01,Low Top,The Nike Sabrina 1 is best for shifty guard-type players.,129.99,8.3,8.6,8.0,8.3,8.4,8.1,22.0,true to size,regular
82,Nike G.T. Hustle 2,Nike,2023-08-01,Mid Top,The Hustle 2 is the perfect shoe for players who want to get up the court quickly.,169.99,8.1,8.1,8.5,8.0,7.9,7.9,17.0,true to size,regular
83,Nike Zoom Freak 5,Nike,2023-07-01,Low Top,The Zoom Freak 5s are best for players looking for a minimal shoe that doesn't sacrifice many features.,139.99,8.2,8.7,8.2,7.4,7.8,7.9,30.0,slightly long,regular
84,Nike G.T. Jump 2,Nike,2023-07-01,High Top,Any players who thrive with maximalist cushioning will love the Nike G.T. Jump 2.,179.99,8.6,8.6,9.7,8.1,8.5,7.9,20.0,slightly long,regular
85,Li-Ning Wade 808 3 Ultra,Li-Ning,2023-07-01,Low Top,The perfect shoe for bouncy players who enjoy low profile yet sturdy shoes.,199.99,8.6,9.2,8.6,8.0,9.0,8.0,50.0,slightly long,regular
86,Jordan Luka 2,Jordan,2023-06-01,Low Top,Guards and wings who make quick cuts and stepbacks will benefit the most from this shoe.,129.99,8.3,8.5,7.8,8.0,8.9,8.0,17.0,slightly long,slightly wide
87,Puma All Pro Nitro,Puma,2023-06-01,Low Top,Players looking for a versatile shoe that's not expensive will love the Puma All Pro Nitro.,129.99,8.5,9.3,8.9,7.7,8.5,8.3,38.0,true to size,slightly wide
88,ANTA Shock Wave 5,ANTA,2023-06-01,Low Top,Shifty players who enjoy court feel and grippy traction will like the Anta Shock Wave 5.,199.99,8.3,9.0,8.6,7.8,8.2,8.2,100.0,true to size,regular
89,Nike Cosmic Unity 3,Nike,2023-05-01,Low Top,This shoe is potentially an excellent pick for outdoor players.,169.99,8.0,7.6,7.2,8.6,8.6,8.2,100.0,slightly long,regular
90,Li-Ning Wade Fission 8,Li-Ning,2023-05-01,Low Top,The Fission 8 is best for faster players who use quick movements to their advantage.,119.99,8.4,8.7,8.0,8.3,8.5,8.3,92.0,slightly long,slightly wide
91,Puma Stewie 2,Puma,2023-05-01,Low Top,This shoe is best for players looking for a low-cut version of the MB.02.,124.99,8.3,8.4,8.6,8.2,8.4,8.0,0.0,true to size,regular
92,Li-Ning Wade All City 11 V2,Li-Ning,2023-05-01,Low Top,The All City V2 is a solid pickup for fans of the V1 who want sturdier materials.,149.99,8.8,9.0,9.0,8.7,9.2,8.2,100.0,true to size,regular
93,Jordan Tatum 1,Jordan,2023-04-01,Low Top,A good pickup for bouncy players looking for a lightweight shoe.,119.99,7.9,7.8,8.5,8.1,7.4,7.9,0.0,slightly long,regular
94,Li-Ning Wade 808 2 Ultra V2,Li-Ning,2023-04-01,High Top,This shoe is a solid pick for players looking for something similar to the Kobe line.,159.99,8.5,9.0,8.5,8.0,8.8,8.3,75.0,slightly long,regular
95,Adidas BYW Select,Adidas,2023-04-01,Low Top,The BYW Select is an all-around shoe that performs well in all categories.,149.99,8.1,8.0,8.5,7.5,8.0,8.5,25.0,true to size,slightly wide
96,ANTA GH 4,ANTA,2023-04-01,Low Top,The shoe is perfect for powerful playstyles because of the support and cushioning.,229.99,8.6,8.8,8.8,8.3,9.3,8.0,83.0,slightly long,regular
97,Jordan Why Not Zero.6,Jordan,2023-03-01,Low Top,A great pickup for players with straight-line speed and explosiveness.,139.99,7.9,7.7,7.8,7.7,8.6,7.8,13.0,slightly long,slightly wide
98,Nike Ja 1,Nike,2023-03-01,Low Top,A good pickup for shifty guards who play low to the ground.,109.99,8.2,8.8,8.0,7.8,8.4,8.2,44.0,true to size,regular
99,New Balance Kawhi 3,New Balance,2023-03-01,Mid Top,A great pick for players looking for versatile cushioning on clean courts.,159.99,8.2,8.3,8.3,7.8,8.3,8.5,75.0,true to size,regular
100,Li-Ning Wade All City 11,Li-Ning,2023-03-01,Low Top,An optimal pickup for springy players looking for comfortable cushioning.,159.99,8.5,8.1,9.0,8.2,9.0,8.3,70.0,slightly long,regular
101,Under Armour Spawn 5,Under Armour,2023-03-01,Low Top,Price-conscious players who enjoy low-profile cushioning setups will enjoy this shoe.,99.99,7.6,7.0,8.0,7.5,7.5,8.0,50.0,true to size,regular
102,Li-Ning Wade Son of Flash,Li-Ning,2023-03-01,Low Top,This shoe is a good pick for quick guards looking for responsive cushioning.,134.99,8.5,9.0,8.2,8.3,8.6,8.3,90.0,true to size,regular
103,Under Armour Curry 2 Low FloTro,Under Armour,2023-03-01,Low Top,The shoe is a solid pick for fans of older Curry models who want modern tech.,149.99,8.4,10.0,8.0,8.5,7.5,8.0,90.0,true to size,regular
104,Adidas Trae Unlimited,Adidas,2023-03-01,Low Top,Players with grounded play styles will benefit the most from the Adidas Trae Unlimited.,89.99,8.1,8.5,7.5,8.0,8.5,8.0,25.0,true to size,slightly wide
105,Nike LeBron NXXT Gen,Nike,2023-02-01,Low Top,This shoe is a good pick for players who don't need maximum cushioning but still want Zoom.,159.99,8.7,9.0,8.6,8.4,8.7,8.8,50.0,true to size,regular
106,Adidas Harden Volume 7,Adidas,2023-02-01,Mid Top,The perfect shoe for those with versatile playstyles.,159.99,8.7,9.0,9.1,7.8,8.9,8.8,50.0,slightly long,slightly wide
107,Li-Ning Ice Blood V2,Li-Ning,2023-01-01,Low Top,"Lighter, shifty guards will enjoy the Ice Blood V2.",99.99,8.1,8.3,8.0,8.0,7.8,8.5,88.0,true to size,regular
108,Air Jordan 37 Low,Jordan,2023-01-01,Low Top,A perfect selection for players who want bouncy cushioning in a low-top shoe.,174.99,8.3,8.3,9.0,8.3,8.0,8.0,33.0,true to size,regular
109,Li-Ning Jimmy Butler 1,Li-Ning,2023-01-01,Low Top,"A perfect pickup for fast, quick players who rely on stability.",139.99,8.2,8.0,8.8,7.6,8.8,8.0,10.0,true to size,regular
110,Jordan One Take 4,Jordan,2022-12-01,Low Top,Players who mainly play outdoors and prefer responsive cushioning will enjoy this shoe.,99.99,8.1,9.5,7.0,7.5,7.8,8.5,50.0,slightly long,slightly wide
111,New Balance TWO WXY V3,New Balance,2022-11-01,Low Top,Shifty guards who rely on traction will love this shoe.,119.99,8.7,9.3,7.6,8.4,9.1,9.2,14.0,true to size,regular
112,Li-Ning Way of Wade All City 10 V2,Li-Ning,2022-11-01,Low Top,A great pick for players looking for maximum performance without a max price tag.,149.99,8.7,8.4,9.2,8.2,9.2,8.4,80.0,slightly long,regular
113,Adidas Dame Certified,Adidas,2022-11-01,Low Top,Budget-conscious players will enjoy the traction and versatility of the Dame Certified.,94.99,8.2,8.8,7.5,8.5,7.9,8.1,88.0,slightly long,regular
114,361 DVD 1,361,2022-11-01,Low Top,Players with quick changes of direction and shifty speed changes will benefit the most from the traction and cushioning setup.,94.99,8.1,8.8,8.5,7.3,8.0,8.0,88.0,slightly long,regular
115,361 AG 3,361,2022-11-01,High Top,This shoe is best for agile centers and power forwards who need support during quick movements.,159.99,8.3,9.0,7.5,8.0,9.0,8.0,50.0,true to size,slightly narrow
116,Under Armour Curry 10,Under Armour,2022-10-01,Low Top,Anyone that utilizes traction to maximize footwork,159.99,8.8,9.6,8.2,8.2,8.9,8.8,7.0,true to size,regular
117,Adidas D.O.N Issue #4,Adidas,2022-10-01,Mid Top,A solid pick for shifty guards who need containment.,119.99,7.9,8.0,7.5,8.0,8.0,7.8,67.0,slightly long,regular
118,Adidas Trae Young 2.0,Adidas,2022-10-01,Low Top,A great pick for players who enjoy an all-knit construction and the freedom it brings.,139.99,8.1,7.8,8.8,8.0,8.3,7.5,50.0,slightly long,slightly wide
119,Nike Air Deldon,Nike,2022-10-01,High Top,A great pick for players who play on clean courts and enjoy full-length Air.,119.99,7.7,6.0,8.0,7.7,8.3,8.3,0.0,true to size,regular
120,Puma MB.02,Puma,2022-10-01,Mid Top,Players who rely on footwork and enjoy extra impact protection,129.99,8.2,8.8,7.8,7.7,8.6,8.3,0.0,true to size,regular
121,Nike Zoom Freak 4,Nike,2022-09-01,Low Top,Players looking for solid performance and springy cushioning on a budget will enjoy this shoe.,134.99,8.3,8.5,8.2,8.0,8.2,8.0,0.0,true to size,slightly wide
122,Air Jordan 37,Jordan,2022-09-01,High Top,Recommended for forefoot-heavy players looking for a bouncy setup,184.99,8.3,8.3,8.8,8.3,7.8,8.4,50.0,slightly long,slightly wide
123,Nike Lebron 20,Nike,2022-09-01,Low Top,Quick and explosive players will enjoy this shoe the most.,199.99,8.8,9.4,8.9,8.5,8.4,8.6,6.0,true to size,regular
124,Li-Ning Wade 808 2,Li-Ning,2022-09-01,Low Top,Players who are fans of the Kobe 9 traction and cushioning setup,119.99,8.6,9.7,8.7,8.2,8.7,7.8,70.0,true to size,regular
125,ANTA KT 8,ANTA,2022-09-01,High Top,"The Anta KT 8 is recommended for all different players. It has traction, cushioning, and support for most positions.",169.99,8.4,8.4,8.6,8.2,8.6,8.4,17.0,true to size,regular
126,Nike Air Zoom G.T. Cut 2,Nike,2022-08-01,Low Top,Shifty players who enjoy lots of cushioning,129.99,8.5,8.8,9.3,8.0,7.9,8.4,40.0,slightly long,regular
127,Nike Cosmic Unity 2,Nike,2022-08-01,Low Top,Players that want cushioning but also want to feel low to the ground,159.99,8.4,9.2,9.0,8.2,7.4,8.1,30.0,true to size,regular
128,Puma TRC Blaze Court,Puma,2022-08-01,Low Top,Guards with a quick playstyle,119.99,8.4,8.5,8.6,7.1,8.5,8.4,0.0,slightly long,slightly wide
129,Puma Rise NITRO,Puma,2022-08-01,Mid Top,Players looking for a comfortable and reliable shoe,124.99,8.0,7.8,7.7,8.3,8.1,8.3,10.0,true to size,regular
130,Under Armour Curry HOVR Splash,Under Armour,2022-07-01,Mid Top,Available at2shops| Official Retail Price: $109.99,109.99,7.8,7.0,8.0,8.0,8.0,8.0,10.0,true to size,slightly wide
131,Nike Giannis Immortality 2,Nike,2022-07-01,Low Top,"Recommended for smaller, shifty guards.",84.99,7.7,8.5,7.1,7.0,7.9,7.8,50.0,slightly long,regular
132,Jordan Luka 1,Jordan,2022-07-01,Low Top,Recommended for players that use a lot of side steps and other lateral movements.,109.99,8.5,9.4,7.9,8.3,8.6,8.3,30.0,slightly long,slightly wide
133,Li-Ning Way of Wade 10,Li-Ning,2022-07-01,Low Top,"This shoe is an excellent pick for quick, explosive players who enjoy a bouncy feeling in their shoes.",109.99,8.9,9.3,9.6,8.0,8.7,8.7,0.0,true to size,regular
134,Nike Precision 6,Nike,2022-07-01,Low Top,Excellent shoe for budget-conscious players.,74.99,7.9,8.0,7.3,8.0,8.3,8.0,75.0,true to size,regular
135,Puma MB.01 Lo,Puma,2022-07-01,Low Top,Players who want an all-around performer with no weaknesses.,119.99,8.9,9.4,8.9,8.5,8.9,8.5,33.0,true to size,regular
136,New Balance TWO WXY V2,New Balance,2022-06-01,Low Top,Ideal for players willing to give up some cushion for the other performance aspects fundamentals will enjoy this shoe.,129.99,8.5,9.6,8.2,8.6,7.8,8.5,38.0,true to size,regular
137,Jordan Zion 2,Jordan,2022-06-01,Mid Top,Recommended for players that rely on lateral cuts and movements.,139.99,8.3,8.4,8.2,8.0,8.7,7.9,58.0,true to size,regular
138,Air Jordan 36 Low,Jordan,2022-06-01,Low Top,Awesome shoe for players with explosive play styles looking for the extra lift when jumping.,184.99,9.2,9.6,9.6,8.9,8.9,9.0,17.0,true to size,regular
139,Under Armour Curry 4 FloTro,Under Armour,2022-06-01,High Top,The perfect shoe for players who rely on footwork and quick movements,139.99,8.7,10.0,8.5,8.5,7.8,8.5,25.0,slightly long,slightly wide
140,Under Armour HOVR Havoc 4 Clone,Under Armour,2022-05-01,High Top,Recommended for anyone playing primarily on clean courts looking for court feel and responsiveness.,119.99,7.5,7.5,7.5,7.0,7.0,8.5,50.0,true to size,regular
